#==============================================================================
# tracerinfo.dat: Created by GEOS-CHEM at 2014/02/28 17:13
#
# ****** CUSTOMIZED FOR NOx-Ox-Hydrocarbon-Aerosol SIMULATION *****
#
# This file contains name weight and index information about GEOS-CHEM
# tracers.  It is read by routine "ctm_tracerinfo.pro" of the GAMAP package.
#
# File Format:
# -----------------------------------------------------------------------------
# NAME     (A8   )  Tracer name (up to 8 chars)
#  --      (1X   )  1-character spacer
# FULLNAME (A30  )  Full tracer name (up to 30 chars)
# MOLWT    (E10.0)  Molecular weight (kg/mole)
# C        (I3   )  For HC's: # moles C/moles tracer; otherwise set=1
# TRACER   (I9   )  Tracer number (up to 9 digits)
# SCALE    (E10.3)  Standard scale factor to convert to unit given below
#  --      (1X   )  1-character spacer
# UNIT     (A40  )  Unit string
#
#==============================================================================
# GEOS-CHEM tracers [ppbv]
#==============================================================================
MACR     MACR tracer                    7.000E-02  1     2014 1.000E+00 molec/cm2
PMN      PMN tracer                     1.470E-01  1     2015 1.000E+00 molec/cm2
PPN      PPN tracer                     1.350E-01  1     2016 1.000E+00 molec/cm2
R4N2     R4N2 tracer                    1.190E-01  1     2017 1.000E+00 molec/cm2
PRPE     PRPE tracer                    1.200E-02  3     2018 1.000E+00 atoms C/cm2
C3H8     C3H8 tracer                    1.200E-02  3     2019 1.000E+00 atoms C/cm2
CH2O     CH2O tracer                    3.000E-02  1     2020 1.000E+00 molec/cm2
C2H6     C2H6 tracer                    1.200E-02  2     2021 1.000E+00 atoms C/cm2
N2O5     N2O5 tracer                    1.050E-01  1     2022 1.000E+00 molec/cm2
HNO4     HNO4 tracer                    7.900E-02  1     2023 1.000E+00 molec/cm2
MP       MP tracer                      4.800E-02  1     2024 1.000E+00 molec/cm2
DMS      DMS tracer                     6.200E-02  1     2025 1.000E+00 molec/cm2
SO2      SO2 tracer                     6.400E-02  1     2026 1.000E+00 molec/cm2
SO4      SO4 tracer                     9.600E-02  1     2027 1.000E+00 molec/cm2
SO4s     SO4s tracer                    9.600E-02  1     2028 1.000E+00 molec/cm2
MSA      MSA tracer                     9.600E-02  1     2029 1.000E+00 molec/cm2
NH3      NH3 tracer                     1.700E-02  1     2030 1.000E+00 molec/cm2
NH4      NH4 tracer                     1.800E-02  1     2031 1.000E+00 molec/cm2
NIT      NIT tracer                     6.200E-02  1     2032 1.000E+00 molec/cm2
NITs     NITs tracer                    6.200E-02  1     2033 1.000E+00 molec/cm2
BCPI     BCPI tracer                    1.200E-02  1     2034 1.000E+00 molec/cm2
OCPI     OCPI tracer                    1.200E-02  1     2035 1.000E+00 molec/cm2
BCPO     BCPO tracer                    1.200E-02  1     2036 1.000E+00 molec/cm2
OCPO     OCPO tracer                    1.200E-02  1     2037 1.000E+00 molec/cm2
ALPH     ALPH tracer                    1.360E-01  1     2038 1.000E+00 molec/cm2
LIMO     LIMO tracer                    1.360E-01  1     2039 1.000E+00 molec/cm2
ALCO     ALCO tracer                    1.420E-01  1     2040 1.000E+00 molec/cm2
SOG1     SOG1 tracer                    1.500E-01  1     2041 1.000E+00 molec/cm2
SOG2     SOG2 tracer                    1.600E-01  1     2042 1.000E+00 molec/cm2
SOG3     SOG3 tracer                    2.200E-01  1     2043 1.000E+00 molec/cm2
SOG4     SOG4 tracer                    1.300E-01  1     2044 1.000E+00 molec/cm2
SOG5     SOG5 tracer                    1.500E-01  1     2045 1.000E+00 molec/cm2
SOA1     SOA1 tracer                    1.500E-01  1     2046 1.000E+00 molec/cm2
SOA2     SOA2 tracer                    1.600E-01  1     2047 1.000E+00 molec/cm2
SOA3     SOA3 tracer                    2.200E-01  1     2048 1.000E+00 molec/cm2
SOA4     SOA4 tracer                    1.300E-01  1     2049 1.000E+00 molec/cm2
SOA5     SOA5 tracer                    1.500E-01  1     2050 1.000E+00 molec/cm2
DST1     DST1 tracer                    2.900E-02  1     2051 1.000E+00 molec/cm2
DST2     DST2 tracer                    2.900E-02  1     2052 1.000E+00 molec/cm2
DST3     DST3 tracer                    2.900E-02  1     2053 1.000E+00 molec/cm2
DST4     DST4 tracer                    2.900E-02  1     2054 1.000E+00 molec/cm2
SALA     SALA tracer                    3.600E-02  1     2055 1.000E+00 molec/cm2
SALC     SALC tracer                    3.600E-02  1     2056 1.000E+00 molec/cm2
GLYX     GLYX tracer                    5.800E-02  1     2057 1.000E+00 molec/cm2
MGLY     MGLY tracer                    7.200E-02  1     2058 1.000E+00 molec/cm2
BENZ     BENZ tracer                    1.200E-02  6     2059 1.000E+00 atoms C/cm2
TOLU     TOLU tracer                    1.200E-02  7     2060 1.000E+00 atoms C/cm2
XYLE     XYLE tracer                    1.200E-02  8     2061 1.000E+00 atoms C/cm2
MONX     MONX tracer                    1.200E-02 10     2062 1.000E+00 atoms C/cm2
SOAG     SOAG tracer                    5.800E-02  1     2063 1.000E+00 molec/cm2
SOAM     SOAM tracer                    7.200E-02  1     2064 1.000E+00 molec/cm2
C2H4     C2H4 tracer                    1.200E-02  2     2065 1.000E+00 atoms C/cm2
C2H2     C2H2 tracer                    1.200E-02  2     2066 1.000E+00 atoms C/cm2
MBO      MBO tracer                     1.200E-02  5     2067 1.000E+00 atoms C/cm2
GLYC     GLYC tracer                    6.000E-02  1     2068 1.000E+00 molec/cm2
HAC      HAC tracer                     7.400E-02  1     2069 1.000E+00 molec/cm2
ACRPAN   ACRPAN tracer                  1.330E-01  1     2070 1.000E+00 molec/cm2
ENPAN    ENPAN tracer                   1.820E-01  1     2071 1.000E+00 molec/cm2
GLPAN    GLPAN tracer                   1.370E-01  1     2072 1.000E+00 molec/cm2
GPAN     GPAN tracer                    1.350E-01  1     2073 1.000E+00 molec/cm2
MPAN     MPAN tracer                    1.320E-01  1     2074 1.000E+00 molec/cm2
NIPAN    NIPAN tracer                   2.240E-01  1     2075 1.000E+00 molec/cm2
O3       Pure O3 tracer                 4.800E-02  1     2076 1.000E+00 molec/cm2
#==============================================================================
# GEOS-CHEM tracers [kg/s]
#==============================================================================
NOx      NOx tracer                     1.400E-02  1     3001 1.000E+00 kg/s
Ox       Ox tracer                      4.800E-02  1     3002 1.000E+00 kg/s
PAN      PAN tracer                     1.210E-01  1     3003 1.000E+00 kg/s
CO       CO tracer                      2.800E-02  1     3004 1.000E+00 kg/s
ALK4     ALK4 tracer                    1.200E-02  4     3005 1.000E+00 kg C/s
ISOP     ISOP tracer                    1.200E-02  5     3006 1.000E+00 kg C/s
HNO3     HNO3 tracer                    6.300E-02  1     3007 1.000E+00 kg/s
H2O2     H2O2 tracer                    3.400E-02  1     3008 1.000E+00 kg/s
ACET     ACET tracer                    1.200E-02  3     3009 1.000E+00 kg C/s
MEK      MEK tracer                     1.200E-02  4     3010 1.000E+00 kg C/s
ALD2     ALD2 tracer                    1.200E-02  2     3011 1.000E+00 kg C/s
RCHO     RCHO tracer                    5.800E-02  1     3012 1.000E+00 kg/s
MVK      MVK tracer                     7.000E-02  1     3013 1.000E+00 kg/s
MACR     MACR tracer                    7.000E-02  1     3014 1.000E+00 kg/s
PMN      PMN tracer                     1.470E-01  1     3015 1.000E+00 kg/s
PPN      PPN tracer                     1.350E-01  1     3016 1.000E+00 kg/s
R4N2     R4N2 tracer                    1.190E-01  1     3017 1.000E+00 kg/s
PRPE     PRPE tracer                    1.200E-02  3     3018 1.000E+00 kg C/s
C3H8     C3H8 tracer                    1.200E-02  3     3019 1.000E+00 kg C/s
CH2O     CH2O tracer                    3.000E-02  1     3020 1.000E+00 kg/s
C2H6     C2H6 tracer                    1.200E-02  2     3021 1.000E+00 kg C/s
N2O5     N2O5 tracer                    1.050E-01  1     3022 1.000E+00 kg/s
HNO4     HNO4 tracer                    7.900E-02  1     3023 1.000E+00 kg/s
MP       MP tracer                      4.800E-02  1     3024 1.000E+00 kg/s
DMS      DMS tracer                     6.200E-02  1     3025 1.000E+00 kg/s
SO2      SO2 tracer                     6.400E-02  1     3026 1.000E+00 kg/s
SO4      SO4 tracer                     9.600E-02  1     3027 1.000E+00 kg/s
SO4s     SO4s tracer                    9.600E-02  1     3028 1.000E+00 kg/s
MSA      MSA tracer                     9.600E-02  1     3029 1.000E+00 kg/s
NH3      NH3 tracer                     1.700E-02  1     3030 1.000E+00 kg/s
NH4      NH4 tracer                     1.800E-02  1     3031 1.000E+00 kg/s
NIT      NIT tracer                     6.200E-02  1     3032 1.000E+00 kg/s
NITs     NITs tracer                    6.200E-02  1     3033 1.000E+00 kg/s
BCPI     BCPI tracer                    1.200E-02  1     3034 1.000E+00 kg/s
OCPI     OCPI tracer                    1.200E-02  1     3035 1.000E+00 kg/s
BCPO     BCPO tracer                    1.200E-02  1     3036 1.000E+00 kg/s
OCPO     OCPO tracer                    1.200E-02  1     3037 1.000E+00 kg/s
ALPH     ALPH tracer                    1.360E-01  1     3038 1.000E+00 kg/s
LIMO     LIMO tracer                    1.360E-01  1     3039 1.000E+00 kg/s
ALCO     ALCO tracer                    1.420E-01  1     3040 1.000E+00 kg/s
SOG1     SOG1 tracer                    1.500E-01  1     3041 1.000E+00 kg/s
SOG2     SOG2 tracer                    1.600E-01  1     3042 1.000E+00 kg/s
SOG3     SOG3 tracer                    2.200E-01  1     3043 1.000E+00 kg/s
SOG4     SOG4 tracer                    1.300E-01  1     3044 1.000E+00 kg/s
SOG5     SOG5 tracer                    1.500E-01  1     3045 1.000E+00 kg/s
SOA1     SOA1 tracer                    1.500E-01  1     3046 1.000E+00 kg/s
SOA2     SOA2 tracer                    1.600E-01  1     3047 1.000E+00 kg/s
SOA3     SOA3 tracer                    2.200E-01  1     3048 1.000E+00 kg/s
SOA4     SOA4 tracer                    1.300E-01  1     3049 1.000E+00 kg/s
SOA5     SOA5 tracer                    1.500E-01  1     3050 1.000E+00 kg/s
DST1     DST1 tracer                    2.900E-02  1     3051 1.000E+00 kg/s
DST2     DST2 tracer                    2.900E-02  1     3052 1.000E+00 kg/s
DST3     DST3 tracer                    2.900E-02  1     3053 1.000E+00 kg/s
DST4     DST4 tracer                    2.900E-02  1     3054 1.000E+00 kg/s
SALA     SALA tracer                    3.600E-02  1     3055 1.000E+00 kg/s
SALC     SALC tracer                    3.600E-02  1     3056 1.000E+00 kg/s
GLYX     GLYX tracer                    5.800E-02  1     3057 1.000E+00 kg/s
MGLY     MGLY tracer                    7.200E-02  1     3058 1.000E+00 kg/s
BENZ     BENZ tracer                    1.200E-02  6     3059 1.000E+00 kg C/s
TOLU     TOLU tracer                    1.200E-02  7     3060 1.000E+00 kg C/s
XYLE     XYLE tracer                    1.200E-02  8     3061 1.000E+00 kg C/s
MONX     MONX tracer                    1.200E-02 10     3062 1.000E+00 kg C/s
SOAG     SOAG tracer                    5.800E-02  1     3063 1.000E+00 kg/s
SOAM     SOAM tracer                    7.200E-02  1     3064 1.000E+00 kg/s
C2H4     C2H4 tracer                    1.200E-02  2     3065 1.000E+00 kg C/s
